,Date,Open,High,Low,Close,Volume,name
0,2023-01-03,128.34378830008248,128.95456910153305,122.32459400935494,123.21121978759766,112117500,AAPL
1,2023-01-04,125.00414702883133,126.74784531380757,123.22104984209798,124.48202514648438,89113600,AAPL
2,2023-01-05,125.24059093401247,125.87107865122056,122.9058186898535,123.16194915771484,80962700,AAPL
3,2023-01-06,124.13722458745222,128.35360593496887,123.03386747187416,127.69356536865234,87754700,AAPL
4,2023-01-09,128.53098019432045,131.427288863226,127.95959824320164,128.21572875976562,70790800,AAPL
5,2023-01-10,128.32406282244906,129.30920076375085,126.21586822934367,128.78707885742188,63896200,AAPL
6,2023-01-11,129.29937353694692,131.52578019546752,128.5211210646013,131.50608825683594,69458900,AAPL
7,2023-01-12,131.89029271765745,132.26463497127472,129.4865533653131,131.42727661132812,71379600,AAPL
8,2023-01-13,130.06777940104425,132.91482784880117,129.70328312196565,132.7572021484375,57809700,AAPL
9,2023-01-17,132.82614355724837,135.24957434953774,132.1365500404185,133.91964721679688,63646600,AAPL
10,2023-01-18,134.7865730896908,136.54996329562516,133.0231678517452,133.20050048828125,69672800,AAPL
11,2023-01-19,132.0873116107182,134.22505937639417,131.78192122019502,133.25962829589844,58280400,AAPL
12,2023-01-20,133.26946486486585,135.9687483442848,132.22522101014553,135.8209686279297,80223600,AAPL
13,2023-01-23,136.06727935780177,141.1900098722199,135.8505477576372,139.01284790039062,81760300,AAPL
14,2023-01-24,138.22472018745663,141.03236969957698,138.21487421828232,140.41172790527344,66435100,AAPL
15,2023-01-25,138.7960782416761,140.3131839948148,136.7469896041819,139.7516632080078,65799300,AAPL
16,2023-01-26,141.04221286895242,142.10616376720364,139.79108333600698,141.8204803466797,54105100,AAPL
17,2023-01-27,141.03236318771044,145.04186713056833,140.95355034191297,143.7611846923828,70555800,AAPL
18,2023-01-30,142.80561778514152,143.38684562469143,140.72697590646771,140.87474060058594,64015300,AAPL
19,2023-01-31,140.57918779657314,142.19481349464007,140.16543164570373,142.1455535888672,65874500,AAPL
20,2023-02-01,141.83033773006647,144.4311017910948,139.21972769926688,143.2686309814453,77663600,AAPL
21,2023-02-02,146.6870736521922,148.9331875714321,145.96792696689582,148.57855224609375,118339000,AAPL
22,2023-02-03,145.82996797468513,155.04101372137666,145.6329433931969,152.2038116455078,154357300,AAPL
23,2023-02-06,150.30250288074524,150.82462478693864,148.53909754834626,149.4749755859375,69858300,AAPL
24,2023-02-07,148.4011799958932,152.9229595728958,148.4011799958932,152.35157775878906,83322600,AAPL
25,2023-02-08,151.59304759782992,152.28264122485135,148.92331687434466,149.66217041015625,64120100,AAPL
26,2023-02-09,151.49450140964842,152.036330247997,148.1844375441137,148.62774658203125,56007100,AAPL
27,2023-02-10,147.46354505272012,149.31842209117474,147.226745512614,148.99282836914062,57450700,AAPL
28,2023-02-13,148.93360529625505,152.19938787253557,148.90400724096855,151.7948760986328,62199000,AAPL
29,2023-02-14,150.08801949687324,151.71598829923826,148.84485563822165,151.15359497070312,61707600,AAPL
30,2023-02-15,151.06476513520522,153.4228390365263,150.83784167870803,153.25511169433594,65573800,AAPL
31,2023-02-16,151.45938261157076,154.24171981155845,151.30153135980208,151.65672302246094,68167900,AAPL
32,2023-02-17,150.31495787953284,150.95626934167754,148.83499445461442,150.5122833251953,59144100,AAPL
33,2023-02-21,148.1936535747809,149.27896600318738,146.42757068306315,146.4966278076172,58867200,AAPL
34,2023-02-22,146.88139380804506,147.94696900428042,145.19424437189434,146.92086791992188,51011300,AAPL
35,2023-02-23,148.08508220881998,148.33174268890195,145.2731617688621,147.404296875,48394200,AAPL
36,2023-02-24,145.14491019093927,145.22384336023686,143.77347836618958,144.75025939941406,55469600,AAPL
